id,raw_text,label,source_type,transaction_type,direction,amount,fee,balance_after,available_balance,counterparty_name,transaction_id,reference,has_valid_mtn_format,has_balance_info,has_fee_info,has_transaction_id,has_sender_name,has_character_anomaly,has_spacing_anomaly,has_urgency_language,notes
1,"You have received GHS 150.00 from KWAME MENSAH 0241234567. Transaction ID: 9384710236. Fee charged: GHS 0.00. E-levy: GHS 1.50. Your new balance is GHS 1,248.50. 15/03/2026 09:32.",genuine,sms_paste,transfer,incoming,150.00,0.00,1248.50,1248.50,KWAME MENSAH,9384710236,,1,1,1,1,1,0,0,0,Canonical MTN incoming transfer. E-levy = 1% of 150. Comma-formatted balance. All 7 fields present.
2,"Cash In of GHS 200.00 at agent ISAAC DARKO 0201567893. Transaction ID: 1029384756. Your new balance is GHS 450.00. 17/03/2026 11:03.",genuine,sms_paste,deposit,incoming,200.00,0.00,450.00,450.00,ISAAC DARKO,1029384756,,1,1,0,1,1,0,0,0,Cash-in at agent. Fee/e-levy lines absent (cash-in exempt). Real MTN omits fee block on deposits.
3,"You have received GHS 500.00 from ABENA OWUSU 0271098762. Transaction ID: 5647382917. Fee charged: GHS 0.00. E-levy: GHS 5.00. Your new balance is GHS 2,335.00. 18/03/2026 08:44.",genuine,sms_paste,transfer,incoming,500.00,0.00,2335.00,2335.00,ABENA OWUSU,5647382917,,1,1,1,1,1,0,0,0,E-levy = 1% of 500 = 5.00. Comma in balance. Standard weekday morning transfer.
4,"Payment of GHS 45.00 received from KOFI ASANTE 0541236789. Transaction ID: 2910485738. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 1,095.00. 19/03/2026 16:22.",genuine,sms_paste,payment,incoming,45.00,0.00,1095.00,1095.00,KOFI ASANTE,2910485738,,1,1,1,1,1,0,0,0,"Payment template opener ('Payment of GHS ... received from'). Under GHS 100 so e-levy = 0."
5,"You have received GHS 1,200.00 from EMMANUEL TETTEH 0261234589. Transaction ID: 8392017483. Fee charged: GHS 0.00. E-levy: GHS 12.00. Your new balance is GHS 3,488.00. 20/03/2026 10:05.",genuine,sms_paste,transfer,incoming,1200.00,0.00,3488.00,3488.00,EMMANUEL TETTEH,8392017483,,1,1,1,1,1,0,0,0,Large transfer with comma-formatted amounts. E-levy = 1% of 1200 = 12.00. All fields present.
6,"You have received GHS 37.80 from GIFTY LAMPTEY 0501234578. Transaction ID: 4728193054. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 122.30. 20/03/2026 13:28.",genuine,sms_paste,transfer,incoming,37.80,0.00,122.30,122.30,GIFTY LAMPTEY,4728193054,,1,1,1,1,1,0,0,0,Small non-round amount (real MoMo transfers are often odd values). Under 100 so e-levy = 0.
7,"You have received GHS 350.00 from YAW ADJEI 0241098763. Transaction ID: 9182736453. Fee charged: GHS 0.00. E-levy: GHS 3.50. Your new balance is GHS 696.50. 21/03/2026 07:14.",genuine,sms_paste,transfer,incoming,350.00,0.00,696.50,696.50,YAW ADJEI,9182736453,,1,1,1,1,1,0,0,0,E-levy = 1% of 350 = 3.50. Balance = previous 350.00 + 350.00 - 3.50 = 696.50. Math checks out.
8,"Cash In of GHS 500.00 at agent MERCY AGYEMANG 0551098762. Transaction ID: 5648291734. Your new balance is GHS 500.00. 21/03/2026 17:48.",genuine,sms_paste,deposit,incoming,500.00,0.00,500.00,500.00,MERCY AGYEMANG,5648291734,,1,1,0,1,1,0,0,0,Cash-in at agent. Balance = amount means wallet was empty before deposit. No fee line (normal for cash-in).
9,"You have received GHS 75.50 from AMA BOATENG 0551987432. Transaction ID: 8472910348. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 830.50. 16/03/2026 14:17.",genuine,sms_paste,transfer,incoming,75.50,0.00,830.50,830.50,AMA BOATENG,8472910348,,1,1,1,1,1,0,0,0,Small transfer with non-round cedis+pesewas amount. Under GHS 100 so e-levy = 0. All fields correct.
10,"You have sent GHS 60.00 to FRANCIS MENSAH 0241009988. Transaction ID: 6617283940. Fee charged: GHS 0.50. E-levy: GHS 0.00. Your new balance is GHS 439.50. 22/03/2026 09:55.",genuine,sms_paste,transfer,outgoing,60.00,0.50,439.50,439.50,FRANCIS MENSAH,6617283940,,1,1,1,1,1,0,0,0,"Outgoing transfer ('You have sent'). Fee = 0.50 (sender-side charge). Under 100 so e-levy = 0."
11,"You have received GHC 300.00 from SAMUEL OFORI 0241009876. Transaction ID: 7281930456. Fee charged: GHC 0.00. E-levy: GHC 3.00. Your new balance is GHC 985.00. 22/03/2026 11:30.",suspicious,sms_paste,transfer,incoming,300.00,0.00,985.00,985.00,SAMUEL OFORI,7281930456,,0,1,1,1,1,0,0,0,"Uses 'GHC' throughout instead of 'GHS'. GHC was replaced in 2007 redenomination. Otherwise looks structurally correct — likely a copied scam template that was never updated."
12,"You have received GHS 800.00 from RACHEL APPIAH 0241002233. Ref: TXN882910. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 1,520.00. 23/03/2026 12:40.",suspicious,sms_paste,transfer,incoming,800.00,0.00,1520.00,1520.00,RACHEL APPIAH,,,1,1,1,0,1,0,0,0,"Contains 'Ref:' field — real MTN uses 'Transaction ID:' not 'Ref:'. Also e-levy = 0 on a GHS 800 transfer (should be ~8.00). Two subtle inconsistencies."
13,"E-levy: GHS 2.50. Fee charged: GHS 0.00. You have received GHS 250.00 from PATRICK BOADU 0551234568. Transaction ID: 3847201956. Your new balance is GHS 600.00. 23/03/2026 08:15.",suspicious,sms_paste,transfer,incoming,250.00,0.00,600.00,600.00,PATRICK BOADU,3847201956,,0,1,1,1,1,0,0,0,"E-levy and Fee lines appear before the main body instead of after. MTN always prints Fee then E-levy at the end. Reversed field order suggests manual composition."
14,"You have recieved GHS 400.00 from Lydia Mensah 0201556677. Transaction ID: 28391047562. Fee charged: GHS 0.00. E-levy: GHS 4.00. Your new balance is GHS 1,100.00. 23/03/2026 14:40.",suspicious,sms_paste,transfer,incoming,400.00,0.00,1100.00,1100.00,Lydia Mensah,28391047562,,0,1,1,1,1,0,0,0,"Misspelling 'recieved'. Name in Title Case instead of ALL CAPS. Txn ID is 11 digits (borderline). Two soft anomalies that together raise doubt."
15,"Cash receive of GHS 180.00 from DANIEL ASARE 0241008877. Transaction ID: 5573829104. Your balance is GHS 730.00. 24/03/2026 15:10.",suspicious,sms_paste,deposit,incoming,180.00,0.00,730.00,730.00,DANIEL ASARE,5573829104,,0,1,0,1,1,0,0,0,"Opener says 'Cash receive' — MTN always says 'Cash In of'. Subtle grammar error. Otherwise structurally complete. Single anomaly but in the most fingerprint-sensitive field."
16,"Dear Customer you have received GHS 5,000.00 into your MoMo wallet. Transaction was sent in error. Kindly return GHS 4,500.00 to 0241000111 before it is reversed. Failure to comply will result in reversal and your account being blocked.",likely_fraudulent,sms_paste,transfer,incoming,5000.00,0.00,0.00,0.00,,,,,0,0,0,0,0,0,0,1,"Return-money scam. 'Dear Customer' greeting (MTN never uses). 'sent in error' + 'failure to comply' + 'account being blocked' = stacked urgency. No txn ID or balance. No sender name."
17,"MTN MoMo: Your account has been b'locked due to unusual transaction activity. Call our verification line at 0551234567 immediately to avoid permanent suspension. Provide your MoMo PIN and date of birth to verify.",likely_fraudulent,sms_paste,unknown,incoming,0.00,0.00,0.00,0.00,,,,,0,0,0,0,0,1,0,1,"Account block scam. 'b'locked' homoglyph evasion to bypass filters. Requests PIN + date of birth (double credential harvest). 'immediately' + 'permanent suspension' urgency. 'MTN MoMo:' colon prefix is a known scam pattern."
18,"You have received GHS 2,500.00 from JOHN MENSAH. Your MoMo PIN is required to release your funds. This transaction will expire within 24 hours if not confirmed. Dial *170# now.",likely_fraudulent,sms_paste,transfer,incoming,2500.00,0.00,0.00,0.00,JOHN MENSAH,,,,0,0,0,0,1,0,0,1,"PIN harvesting. Opens like a real notification but pivots to requesting PIN. 'expire within 24 hours' creates urgency. No txn ID or balance. Provides a sender name to seem credible."
19,"You have received GHS 3,000.00 from MERCHANT SERVICES. Do not attempt your PIN. This amount has been credited to your acount by the MTN Foundation. Contact 0209876543 for verification before using funds.",likely_fraudulent,sms_paste,transfer,incoming,3000.00,0.00,0.00,0.00,MERCHANT SERVICES,,,,0,0,0,0,1,0,0,1,"'credited' is bank language (MTN says 'received'). Misspelling 'acount'. 'Do not attempt your PIN' is a known scam threat. 'MERCHANT SERVICES' and 'MTN Foundation' are fake entities. No txn ID or balance."
20,"Congrats! You have won GHS 10,000.00 in the MTN Mobile Money: Anniversary Draw! To claim send GHS 200.00 activation fee to agent 0241112233. Offer expires today. Your secret code: 5839. Do not share.",likely_fraudulent,sms_paste,unknown,incoming,10000.00,0.00,0.00,0.00,,,,,0,0,0,0,0,0,0,1,"Advance-fee prize scam. 'MTN Mobile Money:' colon prefix. Requests money to claim prize (GHS 200 activation fee). 'secret code' mimics OTP. 'expires today' urgency. No txn ID or balance. Not how MTN communicates promotions."
