sample_id,raw_sms,source_channel,transaction_type,direction,amount,fee,balance_after,counterparty_name,counterparty_number,mtn_transaction_id,transaction_datetime,has_valid_txn_id,has_balance,has_fee,has_counterparty_name,has_counterparty_number,has_valid_datetime,amount_unusually_round,contains_url,contains_urgency_words,contains_pin_request,spelling_error_count,message_length,parser_confidence,label,label_source,notes
1,"You have received GHS 150.00 from KWAME MENSAH 0241234567. Transaction ID: 9384710236. Fee charged: GHS 0.00. E-levy: GHS 1.50. Your new balance is GHS 1,248.50. 15/03/2026 09:32.",sms,transfer,incoming,150.00,1.50,1248.50,KWAME MENSAH,0241234567,9384710236,2026-03-15 09:32:00,1,1,1,1,1,1,0,0,0,0,0,185,0.95,genuine,expert,Standard incoming transfer. E-levy = 1.50 (1% of 150). All fields present and consistent.
2,"You have received GHS 75.50 from AMA BOATENG 0551987432. Transaction ID: 8472910348. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 830.50. 16/03/2026 14:17.",sms,transfer,incoming,75.50,0.00,830.50,AMA BOATENG,0551987432,8472910348,2026-03-16 14:17:00,1,1,1,1,1,1,0,0,0,0,0,179,0.95,genuine,expert,Amount below GHS 100 so e-levy is GHS 0.00. All fields match standard template.
3,"Cash In of GHS 200.00 at agent ISAAC DARKO 0201567893. Transaction ID: 1029384756. Your new balance is GHS 450.00. 17/03/2026 11:03.",sms,deposit,incoming,200.00,0.00,450.00,ISAAC DARKO,0201567893,1029384756,2026-03-17 11:03:00,1,1,0,1,1,1,0,0,0,0,0,138,0.90,genuine,expert,Agent cash-in uses different template. No fee/e-levy line is normal for cash-in operations.
4,"You have received GHS 500.00 from ABENA OWUSU 0271098762. Transaction ID: 5647382917. Fee charged: GHS 0.00. E-levy: GHS 5.00. Your new balance is GHS 2,335.00. 18/03/2026 08:44.",sms,transfer,incoming,500.00,5.00,2335.00,ABENA OWUSU,0271098762,5647382917,2026-03-18 08:44:00,1,1,1,1,1,1,1,0,0,0,0,184,0.95,genuine,expert,"Round amount but e-levy correct at 1% of 500. Balance consistent: 2335 = prev + 500 - 5."
5,"Payment of GHS 45.00 received from KOFI ASANTE 0541236789. Transaction ID: 2910485738. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 1,095.00. 19/03/2026 16:22.",sms,payment,incoming,45.00,0.00,1095.00,KOFI ASANTE,0541236789,2910485738,2026-03-19 16:22:00,1,1,1,1,1,1,0,0,0,0,0,176,0.94,genuine,expert,"Payment received uses slightly different opening. Amount below 100 so no e-levy."
6,"You have received GHS 1,200.00 from EMMANUEL TETTEH 0261234589. Transaction ID: 8392017483. Fee charged: GHS 0.00. E-levy: GHS 12.00. Your new balance is GHS 3,488.00. 20/03/2026 10:05.",sms,transfer,incoming,1200.00,12.00,3488.00,EMMANUEL TETTEH,0261234589,8392017483,2026-03-20 10:05:00,1,1,1,1,1,1,0,0,0,0,0,191,0.96,genuine,expert,"Large transfer. E-levy = 12.00 (1% of 1200). balance_after implies balance_before = 2300."
7,"You have received GHS 22.00 from GIFTY LAMPTEY 0501234578. Transaction ID: 4728193054. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 122.00. 20/03/2026 13:28.",sms,transfer,incoming,22.00,0.00,122.00,GIFTY LAMPTEY,0501234578,4728193054,2026-03-20 13:28:00,1,1,1,1,1,1,0,0,0,0,0,173,0.94,genuine,expert,Small casual transfer under 100. No e-levy. Odd amount makes it natural (not round).
8,"You have received GHS 350.00 from YAW ADJEI 0241098763. Transaction ID: 9182736453. Fee charged: GHS 0.00. E-levy: GHS 3.50. Your new balance is GHS 696.50. 21/03/2026 07:14.",sms,transfer,incoming,350.00,3.50,696.50,YAW ADJEI,0241098763,9182736453,2026-03-21 07:14:00,1,1,1,1,1,1,0,0,0,0,0,177,0.95,genuine,expert,Early morning transfer. E-levy = 3.50 (1% of 350). Balance math checks out.
9,"Cash In of GHS 100.00 at agent MERCY AGYEMANG 0551098762. Transaction ID: 5648291734. Your new balance is GHS 100.00. 21/03/2026 17:48.",sms,deposit,incoming,100.00,0.00,100.00,MERCY AGYEMANG,0551098762,5648291734,2026-03-21 17:48:00,1,1,0,1,1,1,0,0,0,0,0,135,0.90,genuine,expert,"Cash-in to empty wallet. Balance equals amount because wallet was at 0. No fee line is normal for cash-in."
10,"You have received GHS 85.00 from SAMUEL OFORI 0271234569. Transaction ID: 7382910462. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 535.00. 22/03/2026 12:01.",sms,transfer,incoming,85.00,0.00,535.00,SAMUEL OFORI,0271234569,7382910462,2026-03-22 12:01:00,1,1,1,1,1,1,0,0,0,0,0,175,0.95,genuine,expert,Under GHS 100 so no e-levy. All fields present. Midday transaction.
11,"You have received GHS 2,500.00 from ADINKRA VENTURES LTD 0302345678. Transaction ID: 1028473952. Fee charged: GHS 0.00. E-levy: GHS 25.00. Your new balance is GHS 4,225.00. 22/03/2026 09:00.",sms,transfer,incoming,2500.00,25.00,4225.00,ADINKRA VENTURES LTD,0302345678,1028473952,2026-03-22 09:00:00,1,1,1,1,1,1,0,0,0,0,0,196,0.95,genuine,expert,"Corporate payment (salary). 030-prefix is Accra landline reused for merchant MoMo. E-levy = 25.00 (1% of 2500)."
12,"You have received GHS 63.00 from AKOSUA DANKWA 0541098761. Transaction ID: 8291746352. Fee charged: GHS 0.00. E-levy: GHS 0.00. Your new balance is GHS 313.00. 23/03/2026 19:35.",sms,transfer,incoming,63.00,0.00,313.00,AKOSUA DANKWA,0541098761,8291746352,2026-03-23 19:35:00,1,1,1,1,1,1,0,0,0,0,0,175,0.94,genuine,expert,"Evening transfer. Under 100 so no e-levy. Odd amount (63) = very natural for peer transfer."
13,"Airtime of GHS 10.00 received. Transaction ID: 4738291057. Your airtime balance is GHS 12.50. 24/03/2026 06:02.",sms,airtime,incoming,10.00,0.00,12.50,,,4738291057,2026-03-24 06:02:00,1,1,0,0,0,1,0,0,0,0,0,99,0.82,genuine,expert,"Airtime top-up. No counterparty name/number is standard for self-top-up. No fee line."
14,"You have received GHS 400.00 from PRISCILLA ASIEDU 0261098768. Transaction ID: 9183746251. Fee charged: GHS 0.00. E-levy: GHS 4.00. Your new balance is GHS 1,796.00. 24/03/2026 15:47.",sms,transfer,incoming,400.00,4.00,1796.00,PRISCILLA ASIEDU,0261098768,9183746251,2026-03-24 15:47:00,1,1,1,1,1,1,0,0,0,0,0,186,0.95,genuine,expert,"E-levy = 4.00 (1% of 400). Standard afternoon transfer."
15,"You have received GHS 130.00 from DANIEL OPPONG 0501098764. Transaction ID: 6372819403. Fee charged: GHS 0.00. E-levy: GHS 1.30. Your new balance is GHS 678.70. 25/03/2026 11:33.",sms,transfer,incoming,130.00,1.30,678.70,DANIEL OPPONG,0501098764,6372819403,2026-03-25 11:33:00,1,1,1,1,1,1,0,0,0,0,0,180,0.95,genuine,expert,"E-levy = 1.30 (1% of 130). Balance consistent with prior balance of 550."
